run_name,phase,method,p,seed,delay_mode,spy_selection_method,bribed_nodes,total_packets,correct_guesses,accuracy,score_adv,mean_t80,median_t80,score_honest,missing_observation_packets
phase5_p0.1_seed101_spies3_delay_maximum,5,advanced_timing,0.1,101,maximum,cluster_spread,3,200,108,0.54,0.18000000000000002,0.7857284152507782,0.6303009986877441,0.5854440173875899,0
phase5_p0.1_seed101_spies3_delay_none,5,first_spy,0.1,101,none,cluster_spread,3,200,30,0.15,0.049999999999999996,0.6998643529415131,0.5801479816436768,1.2145210660143932,0
phase5_p0.1_seed101_spies3_delay_none,5,advanced_timing,0.1,101,none,cluster_spread,3,200,86,0.43,0.14333333333333334,0.6998643529415131,0.5801479816436768,0.8144435383861227,0
phase5_p0.1_seed101_spies3_delay_random,5,first_spy,0.1,101,random,cluster_spread,3,200,38,0.19,0.06333333333333334,0.7430898416042327,0.6131778955459595,1.090043161202846,0
phase5_p0.1_seed101_spies3_delay_random,5,advanced_timing,0.1,101,random,cluster_spread,3,200,96,0.48,0.16,0.7430898416042327,0.6131778955459595,0.6997807948462715,0
phase5_p0.1_seed202_spies3_delay_half,5,first_spy,0.1,202,half,cluster_spread,3,200,32,0.16,0.05333333333333334,0.6251901388168335,0.6049710512161255,1.3435912498391165,0
phase5_p0.1_seed202_spies3_delay_half,5,advanced_timing,0.1,202,half,cluster_spread,3,200,102,0.51,0.17,0.6251901388168335,0.6049710512161255,0.7837615624061512,0
phase5_p0.1_seed202_spies3_delay_maximum,5,first_spy,0.1,202,maximum,cluster_spread,3,200,35,0.175,0.05833333333333333,0.6916202425956726,0.6713889837265015,1.1928511474790688,0
phase5_p0.1_seed202_spies3_delay_maximum,5,advanced_timing,0.1,202,maximum,cluster_spread,3,200,88,0.44,0.14666666666666667,0.6916202425956726,0.6713889837265015,0.8096929001070045,0
phase5_p0.1_seed202_spies3_delay_none,5,first_spy,0.1,202,none,cluster_spread,3,200,34,0.17,0.05666666666666667,0.5741905677318573,0.5605210065841675,1.445513121677756,0
phase5_p0.1_seed202_spies3_delay_none,5,advanced_timing,0.1,202,none,cluster_spread,3,200,91,0.455,0.15166666666666667,0.5741905677318573,0.5605210065841675,0.9491622304992493,0
phase5_p0.1_seed202_spies3_delay_random,5,first_spy,0.1,202,random,cluster_spread,3,200,34,0.17,0.05666666666666667,0.6255856037139893,0.5945861339569092,1.326756873995244,0
phase5_p0.1_seed202_spies3_delay_random,5,advanced_timing,0.1,202,random,cluster_spread,3,200,98,0.49,0.16333333333333333,0.6255856037139893,0.5945861339569092,0.8152361514910536,0
phase5_p0.1_seed303_spies3_delay_half,5,first_spy,0.1,303,half,cluster_spread,3,200,35,0.175,0.05833333333333333,0.8994632923603058,0.8481073379516602,0.9172136395195132,0
phase5_p0.1_seed303_spies3_delay_half,5,advanced_timing,0.1,303,half,cluster_spread,3,200,112,0.56,0.18666666666666668,0.8994632923603058,0.8481073379516602,0.48918060774374034,0
phase5_p0.1_seed303_spies3_delay_maximum,5,first_spy,0.1,303,maximum,cluster_spread,3,200,38,0.19,0.06333333333333334,0.9089777886867523,0.8483842611312866,0.89111088310557,0
phase5_p0.1_seed303_spies3_delay_maximum,5,advanced_timing,0.1,303,maximum,cluster_spread,3,200,110,0.55,0.18333333333333335,0.9089777886867523,0.8483842611312866,0.49506160172531655,0
